datetime	SOLA01	SOLA02	SOLA03
2012-01-02 13:30:00	1831	2850.0	
2012-01-02 14:00:00	1526	2140.0	
2012-01-02 14:30:00	1389	2000.0	
2012-01-02 15:00:00	925	1290.0	
2012-01-02 15:30:00	155	740.0	
2012-01-02 16:00:00	33	210.0	
2012-01-02 16:30:00	0	0.0	
2012-01-02 17:00:00	0	0.0	
2012-01-02 17:30:00	0	0.0	
2012-01-02 18:00:00	0	0.0	
2012-01-02 18:30:00	0	0.0	
2012-01-02 19:00:00	0	0.0	
2012-01-02 19:30:00	0	0.0	
2012-01-02 20:00:00	0	0.0	
2012-01-02 20:30:00	0	0.0	
2012-01-02 21:00:00	0	0.0	
2012-01-02 21:30:00	0	0.0	
2012-01-02 22:00:00	0	0.0	
2012-01-02 22:30:00	0	0.0	
2012-01-02 23:00:00	0	0.0	
2012-01-02 23:30:00	0	0.0	
2012-01-03 00:00:00	0	0.0	
2012-01-03 00:30:00	0	0.0	
2012-01-03 01:00:00	0	0.0	
2012-01-03 01:30:00	0	0.0	
2012-01-03 02:00:00	0	0.0	
2012-01-03 02:30:00	0	0.0	
2012-01-03 03:00:00	0	0.0	
2012-01-03 03:30:00	0	0.0	
2012-01-03 04:00:00	0	0.0	
2012-01-03 04:30:00	0	0.0	
2012-01-03 05:00:00	0	0.0	
2012-01-03 05:30:00	0	0.0	
2012-01-03 06:00:00	0	0.0	
2012-01-03 06:30:00	0	0.0	
2012-01-03 07:00:00	3	0.0	
2012-01-03 07:30:00	130	60.0	
2012-01-03 08:00:00	127	220.0	
2012-01-03 08:30:00	170	280.0	
2012-01-03 09:00:00	243	460.0	
2012-01-03 09:30:00	349	600.0	
2012-01-03 10:00:00	572	880.0	
2012-01-03 10:30:00	802	1280.0	
2012-01-03 11:00:00	900	1140.0	
2012-01-03 11:30:00	1580	1780.0	
2012-01-03 12:00:00	874	2360.0	
2012-01-03 12:30:00	1387	3560.0	
2012-01-03 13:00:00	1914	3910.0	
2012-01-03 13:30:00	1986	3390.0	
2012-01-03 14:00:00	1707	2900.0	
2012-01-03 14:30:00	1380	2170.0	
2012-01-03 15:00:00	971	1330.0	
2012-01-03 15:30:00	196	480.0	
2012-01-03 16:00:00	38	180.0	
2012-01-03 16:30:00	0	0.0	
2012-01-03 17:00:00	0	0.0	
2012-01-03 17:30:00	0	0.0	
2012-01-03 18:00:00	0	0.0	
2012-01-03 18:30:00	0	0.0	
2012-01-03 19:00:00	0	0.0	
2012-01-03 19:30:00	0	0.0	
2012-01-03 20:00:00	0	0.0	
2012-01-03 20:30:00	0	0.0	
2012-01-03 21:00:00	0	0.0	
2012-01-03 21:30:00	0	0.0	
2012-01-03 22:00:00	0	0.0	
2012-01-03 22:30:00	0	0.0	
2012-01-03 23:00:00	0	0.0	
2012-01-03 23:30:00	0	0.0	
2012-01-04 00:00:00	0	0.0	
2012-01-04 00:30:00	0	0.0	
2012-01-04 01:00:00	0	0.0	
2012-01-04 01:30:00	0	0.0	
2012-01-04 02:00:00	0	0.0	
2012-01-04 02:30:00	0	0.0	
2012-01-04 03:00:00	0	0.0	
2012-01-04 03:30:00	0	0.0	
2012-01-04 04:00:00	0	0.0	
2012-01-04 04:30:00	0	0.0	
2012-01-04 05:00:00	0	0.0	
2012-01-04 05:30:00	0	0.0	
2012-01-04 06:00:00	0	0.0	
2012-01-04 06:30:00	0	0.0	
2012-01-04 07:00:00	14	0.0	
2012-01-04 07:30:00	119	300.0	
2012-01-04 08:00:00	349	820.0	
2012-01-04 08:30:00	1054	1500.0	
2012-01-04 09:00:00	1390	2200.0	
2012-01-04 09:30:00	1671	2720.0	
2012-01-04 10:00:00	1877	3270.0	
2012-01-04 10:30:00	2044	3500.0	
2012-01-04 11:00:00	2111	3680.0	
2012-01-04 11:30:00	2138	3860.0	
2012-01-04 12:00:00	2165	3830.0	
2012-01-04 12:30:00	2103	3590.0	
2012-01-04 13:00:00	1951	3370.0	
2012-01-04 13:30:00	1744	3060.0	
2012-01-04 14:00:00	1377	2090.0	
2012-01-04 14:30:00	900	1260.0	
2012-01-04 15:00:00	248	350.0	
2012-01-04 15:30:00	107	260.0	
2012-01-04 16:00:00	47	90.0	
2012-01-04 16:30:00	0	0.0	
2012-01-04 17:00:00	0	0.0	
2012-01-04 17:30:00	0	0.0	
2012-01-04 18:00:00	0	0.0	
2012-01-04 18:30:00	0	0.0	
2012-01-04 19:00:00	0	0.0	
2012-01-04 19:30:00	0	0.0	
2012-01-04 20:00:00	0	0.0	
2012-01-04 20:30:00	0	0.0	
2012-01-04 21:00:00	0	0.0	
2012-01-04 21:30:00	0	0.0	
2012-01-04 22:00:00	0	0.0	
2012-01-04 22:30:00	0	0.0	
2012-01-04 23:00:00	0	0.0	
2012-01-04 23:30:00	0	0.0	
2012-01-05 00:00:00	0	0.0	
2012-01-05 00:30:00	0	0.0	
2012-01-05 01:00:00	0	0.0	
2012-01-05 01:30:00	0	0.0	
2012-01-05 02:00:00	0	0.0	
2012-01-05 02:30:00	0	0.0	
2012-01-05 03:00:00	0	0.0	
2012-01-05 03:30:00	0	0.0	
2012-01-05 04:00:00	0	0.0	
2012-01-05 04:30:00	0	0.0	
2012-01-05 05:00:00	0	0.0	
2012-01-05 05:30:00	0	0.0	
2012-01-05 06:00:00	0	0.0	
2012-01-05 06:30:00	0	0.0	
2012-01-05 07:00:00	0	0.0	
2012-01-05 07:30:00	60	410.0	
2012-01-05 08:00:00	340	920.0	
2012-01-05 08:30:00	1182	1670.0	
2012-01-05 09:00:00	1549	2460.0	
2012-01-05 09:30:00	1836	3120.0	
2012-01-05 10:00:00	2031	3510.0	
2012-01-05 10:30:00	2175	3820.0	
2012-01-05 11:00:00	2271	3990.0	
2012-01-05 11:30:00	2306	4060.0	
2012-01-05 12:00:00	2292	3980.0	
2012-01-05 12:30:00	1881	3940.0	
2012-01-05 13:00:00	1409	3720.0	
2012-01-05 13:30:00	1909	3310.0	
2012-01-05 14:00:00	1708	2740.0	
2012-01-05 14:30:00	1340	2110.0	
2012-01-05 15:00:00	979	1390.0	
2012-01-05 15:30:00	215	720.0	
2012-01-05 16:00:00	49	250.0	
2012-01-05 16:30:00	0	0.0	
2012-01-05 17:00:00	0	0.0	
2012-01-05 17:30:00	0	0.0	
2012-01-05 18:00:00	0	0.0	
2012-01-05 18:30:00	0	0.0	
2012-01-05 19:00:00	0	0.0	
2012-01-05 19:30:00	0	0.0	
2012-01-05 20:00:00	0	0.0	
2012-01-05 20:30:00	0	0.0	
2012-01-05 21:00:00	0	0.0	
2012-01-05 21:30:00	0	0.0	
2012-01-05 22:00:00	0	0.0	
2012-01-05 22:30:00	0	0.0	
2012-01-05 23:00:00	0	0.0	
2012-01-05 23:30:00	0	0.0	
2012-01-06 00:00:00	0	0.0	
2012-01-06 00:30:00	0	0.0	
2012-01-06 01:00:00	0	0.0	
2012-01-06 01:30:00	0	0.0	
2012-01-06 02:00:00	0	0.0	
2012-01-06 02:30:00	0	0.0	
2012-01-06 03:00:00	0	0.0	
2012-01-06 03:30:00	0	0.0	
2012-01-06 04:00:00	0	0.0	
2012-01-06 04:30:00	0	0.0	
2012-01-06 05:00:00	0	0.0	
2012-01-06 05:30:00	0	0.0	
2012-01-06 06:00:00	0	0.0	
2012-01-06 06:30:00	0	0.0	
2012-01-06 07:00:00	41	0.0	
2012-01-06 07:30:00	204	150.0	
2012-01-06 08:00:00	341	400.0	
2012-01-06 08:30:00	459	600.0	
2012-01-06 09:00:00	500	900.0	
2012-01-06 09:30:00	621	1010.0	
2012-01-06 10:00:00	1297	2260.0	
2012-01-06 10:30:00	1418	2520.0	
2012-01-06 11:00:00	1473	2090.0	
2012-01-06 11:30:00	1422	2460.0	
2012-01-06 12:00:00	1864	2840.0	
2012-01-06 12:30:00	2152	3650.0	
2012-01-06 13:00:00	1901	3440.0	
2012-01-06 13:30:00	1859	3070.0	
2012-01-06 14:00:00	1660	2780.0	
2012-01-06 14:30:00	1358	2080.0	
2012-01-06 15:00:00	985	1310.0	
2012-01-06 15:30:00	242	750.0	
2012-01-06 16:00:00	61	260.0	
2012-01-06 16:30:00	0	10.0	
2012-01-06 17:00:00	0	0.0	
2012-01-06 17:30:00	0	0.0	
2012-01-06 18:00:00	0	0.0	
2012-01-06 18:30:00	0	0.0	
2012-01-06 19:00:00	0	0.0	
2012-01-06 19:30:00	0	0.0	
2012-01-06 20:00:00	0	0.0	
2012-01-06 20:30:00	0	0.0	
2012-01-06 21:00:00	0	0.0	
2012-01-06 21:30:00	0	0.0	
2012-01-06 22:00:00	0	0.0	
2012-01-06 22:30:00	0	0.0	
2012-01-06 23:00:00	0	0.0	
2012-01-06 23:30:00	0	0.0	
2012-01-07 00:00:00	0		
2012-01-07 00:30:00	0		
2012-01-07 01:00:00	0		
2012-01-07 01:30:00	0		
2012-01-07 02:00:00	0		
2012-01-07 02:30:00	0		
2012-01-07 03:00:00	0		
2012-01-07 03:30:00	0		
2012-01-07 04:00:00	0		
2012-01-07 04:30:00	0		
2012-01-07 05:00:00	0		
2012-01-07 05:30:00	0		
2012-01-07 06:00:00	0		
2012-01-07 06:30:00	0		
2012-01-07 07:00:00	0		
2012-01-07 07:30:00	91		
2012-01-07 08:00:00	365		
2012-01-07 08:30:00	701		
2012-01-07 09:00:00	591		
2012-01-07 09:30:00	1067		
2012-01-07 10:00:00	2021		
2012-01-07 10:30:00	2274		
2012-01-07 11:00:00	2373		
2012-01-07 11:30:00	2427		
2012-01-07 12:00:00	2392		
2012-01-07 12:30:00	2314		
2012-01-07 13:00:00	2196		
2012-01-07 13:30:00	1996		
2012-01-07 14:00:00	1736		
2012-01-07 14:30:00	1415		
2012-01-07 15:00:00	1029		
2012-01-07 15:30:00	260		
2012-01-07 16:00:00	54		
2012-01-07 16:30:00	0		
2012-01-07 17:00:00	0		
2012-01-07 17:30:00	0		
2012-01-07 18:00:00	0		
2012-01-07 18:30:00	0		
2012-01-07 19:00:00	0		
2012-01-07 19:30:00	0		
2012-01-07 20:00:00	0		
2012-01-07 20:30:00	0		
2012-01-07 21:00:00	0		
2012-01-07 21:30:00	0		
2012-01-07 22:00:00	0		
2012-01-07 22:30:00	0		
2012-01-07 23:00:00	0		
2012-01-07 23:30:00	0		
2012-01-08 00:00:00	0	0.0	
2012-01-08 00:30:00	0	0.0	
2012-01-08 01:00:00	0	0.0	
2012-01-08 01:30:00	0	0.0	
2012-01-08 02:00:00	0	0.0	
2012-01-08 02:30:00	0	0.0	
2012-01-08 03:00:00	0	0.0	
2012-01-08 03:30:00	0	0.0	
2012-01-08 04:00:00	0	0.0	
2012-01-08 04:30:00	0	0.0	
2012-01-08 05:00:00	0	0.0	
2012-01-08 05:30:00	0	0.0	
2012-01-08 06:00:00	0	0.0	
2012-01-08 06:30:00	0	0.0	
2012-01-08 07:00:00	0	0.0	
2012-01-08 07:30:00	35	70.0	
2012-01-08 08:00:00	231	320.0	
2012-01-08 08:30:00	408	580.0	
2012-01-08 09:00:00	853	950.0	
2012-01-08 09:30:00	1334	2300.0	
2012-01-08 10:00:00	948	1780.0	
2012-01-08 10:30:00	1676	3730.0	
2012-01-08 11:00:00	2292	3720.0	
2012-01-08 11:30:00	2200	2480.0	
2012-01-08 12:00:00	1285	3740.0	
2012-01-08 12:30:00	2080	3010.0	
2012-01-08 13:00:00	2172	3480.0	
2012-01-08 13:30:00	1711	2920.0	
2012-01-08 14:00:00	1672	2650.0	
2012-01-08 14:30:00	1466	1620.0	
2012-01-08 15:00:00	1012	1060.0	
2012-01-08 15:30:00	223	300.0	
2012-01-08 16:00:00	69	150.0	
2012-01-08 16:30:00	0	0.0	
2012-01-08 17:00:00	0	0.0	
2012-01-08 17:30:00	0	0.0	
2012-01-08 18:00:00	0	0.0	
2012-01-08 18:30:00	0	0.0	
2012-01-08 19:00:00	0	0.0	
2012-01-08 19:30:00	0	0.0	
2012-01-08 20:00:00	0	0.0	
2012-01-08 20:30:00	0	0.0	
2012-01-08 21:00:00	0	0.0	
2012-01-08 21:30:00	0	0.0	
2012-01-08 22:00:00	0	0.0	
2012-01-08 22:30:00	0	0.0	
2012-01-08 23:00:00	0	0.0	
2012-01-08 23:30:00	0	0.0	
2012-01-09 00:00:00	0	0.0	
2012-01-09 00:30:00	0	0.0	
2012-01-09 01:00:00	0	0.0	
2012-01-09 01:30:00	0	0.0	
2012-01-09 02:00:00	0	0.0	
2012-01-09 02:30:00	0	0.0	
2012-01-09 03:00:00	0	0.0	
2012-01-09 03:30:00	0	0.0	
2012-01-09 04:00:00	0	0.0	
2012-01-09 04:30:00	0	0.0	
2012-01-09 05:00:00	0	0.0	
2012-01-09 05:30:00	0	0.0	
2012-01-09 06:00:00	0	0.0	
2012-01-09 06:30:00	0	0.0	
2012-01-09 07:00:00	6	0.0	
2012-01-09 07:30:00	114	280.0	
2012-01-09 08:00:00	321	480.0	
2012-01-09 08:30:00	975	1390.0	
2012-01-09 09:00:00	1374	2200.0	
2012-01-09 09:30:00	1694	2830.0	
2012-01-09 10:00:00	1950	3310.0	
2012-01-09 10:30:00	2120	3590.0	
2012-01-09 11:00:00	2231	3780.0	
2012-01-09 11:30:00	2283	3860.0	
2012-01-09 12:00:00	2269	3870.0	
2012-01-09 12:30:00	2201	3700.0	
2012-01-09 13:00:00	2054	3480.0	
2012-01-09 13:30:00	1875	3100.0	
2012-01-09 14:00:00	1636	2600.0	
2012-01-09 14:30:00	1344	2020.0	
2012-01-09 15:00:00	990	1280.0	
2012-01-09 15:30:00	326	700.0	
2012-01-09 16:00:00	89	310.0	
2012-01-09 16:30:00	1	30.0	
2012-01-09 17:00:00	0	0.0	
2012-01-09 17:30:00	0	0.0	
2012-01-09 18:00:00	0	0.0	
2012-01-09 18:30:00	0	0.0	
2012-01-09 19:00:00	0	0.0	
2012-01-09 19:30:00	0	0.0	
2012-01-09 20:00:00	0	0.0	
2012-01-09 20:30:00	0	0.0	
2012-01-09 21:00:00	0	0.0	
2012-01-09 21:30:00	0	0.0	
2012-01-09 22:00:00	0	0.0	
2012-01-09 22:30:00	0	0.0	
2012-01-09 23:00:00	0	0.0	
2012-01-09 23:30:00	0	0.0	
2012-01-10 00:00:00	0	0.0	
2012-01-10 00:30:00	0	0.0	
2012-01-10 01:00:00	0	0.0	
2012-01-10 01:30:00	0	0.0	
2012-01-10 02:00:00	0	0.0	
2012-01-10 02:30:00	0	0.0	
2012-01-10 03:00:00	0	0.0	
2012-01-10 03:30:00	0	0.0	
2012-01-10 04:00:00	0	0.0	
2012-01-10 04:30:00	0	0.0	
2012-01-10 05:00:00	0	0.0	
2012-01-10 05:30:00	0	0.0	
2012-01-10 06:00:00	0	0.0	
2012-01-10 06:30:00	0	0.0	
2012-01-10 07:00:00	11	0.0	
2012-01-10 07:30:00	117	260.0	
2012-01-10 08:00:00	417	620.0	
2012-01-10 08:30:00	1009	1400.0	
2012-01-10 09:00:00	1331	2160.0	
2012-01-10 09:30:00	1556	2360.0	
2012-01-10 10:00:00	1653	2410.0	
2012-01-10 10:30:00	1638	2890.0	
2012-01-10 11:00:00	1687	3030.0	
2012-01-10 11:30:00	1942	3360.0	
2012-01-10 12:00:00	1804	3000.0	
2012-01-10 12:30:00	2067	3240.0	
2012-01-10 13:00:00	1623	3010.0	
2012-01-10 13:30:00	1745	2730.0	
2012-01-10 14:00:00	1042	1950.0	
2012-01-10 14:30:00	1306	2020.0	
2012-01-10 15:00:00	883	1340.0	
2012-01-10 15:30:00	471	770.0	
2012-01-10 16:00:00	144	150.0	
2012-01-10 16:30:00	24	0.0	
2012-01-10 17:00:00	0	0.0	
2012-01-10 17:30:00	0	0.0	
2012-01-10 18:00:00	0	0.0	
2012-01-10 18:30:00	0	0.0	
2012-01-10 19:00:00	0	0.0	
2012-01-10 19:30:00	0	0.0	
2012-01-10 20:00:00	0	0.0	
2012-01-10 20:30:00	0	0.0	
2012-01-10 21:00:00	0	0.0	
2012-01-10 21:30:00	0	0.0	
2012-01-10 22:00:00	0	0.0	
2012-01-10 22:30:00	0	0.0	
2012-01-10 23:00:00	0	0.0	
2012-01-10 23:30:00	0	0.0	
2012-01-11 00:00:00	0	0.0	
2012-01-11 00:30:00	0	0.0	
2012-01-11 01:00:00	0	0.0	
2012-01-11 01:30:00	0	0.0	
2012-01-11 02:00:00	0	0.0	
2012-01-11 02:30:00	0	0.0	
2012-01-11 03:00:00	0	0.0	
2012-01-11 03:30:00	0	0.0	
2012-01-11 04:00:00	0	0.0	
2012-01-11 04:30:00	0	0.0	
2012-01-11 05:00:00	0	0.0	
2012-01-11 05:30:00	0	0.0	
2012-01-11 06:00:00	0	0.0	
2012-01-11 06:30:00	0	0.0	
2012-01-11 07:00:00	2	0.0	
2012-01-11 07:30:00	144	250.0	
2012-01-11 08:00:00	352	520.0	
2012-01-11 08:30:00	786	1250.0	
2012-01-11 09:00:00	1282	2240.0	
2012-01-11 09:30:00	880	1730.0	
2012-01-11 10:00:00	1154	3030.0	
2012-01-11 10:30:00	1129	3360.0	
2012-01-11 11:00:00	1517	3590.0	
2012-01-11 11:30:00	2136	3680.0	
2012-01-11 12:00:00	2163	3710.0	
2012-01-11 12:30:00	2085	3400.0	
2012-01-11 13:00:00	1823	2850.0	
2012-01-11 13:30:00	1190	1910.0	
2012-01-11 14:00:00	1331	2560.0	
2012-01-11 14:30:00	1258	2250.0	
2012-01-11 15:00:00	260	550.0	
2012-01-11 15:30:00	133	210.0	
2012-01-11 16:00:00	56	100.0	
2012-01-11 16:30:00	0	0.0	
2012-01-11 17:00:00	0	0.0	
2012-01-11 17:30:00	0	0.0	
2012-01-11 18:00:00	0	0.0	
2012-01-11 18:30:00	0	0.0	
2012-01-11 19:00:00	0	0.0	
2012-01-11 19:30:00	0	0.0	
2012-01-11 20:00:00	0	0.0	
2012-01-11 20:30:00	0	0.0	
2012-01-11 21:00:00	0	0.0	
2012-01-11 21:30:00	0	0.0	
2012-01-11 22:00:00	0	0.0	
2012-01-11 22:30:00	0	0.0	
2012-01-11 23:00:00	0	0.0	
2012-01-11 23:30:00	0	0.0	
2012-01-12 00:00:00	0	0.0	
2012-01-12 00:30:00	0	0.0	
2012-01-12 01:00:00	0	0.0	
2012-01-12 01:30:00	0	0.0	
2012-01-12 02:00:00	0	0.0	
2012-01-12 02:30:00	0	0.0	
2012-01-12 03:00:00	0	0.0	
2012-01-12 03:30:00	0	0.0	
2012-01-12 04:00:00	0	0.0	
2012-01-12 04:30:00	0	0.0	
2012-01-12 05:00:00	0	0.0	
2012-01-12 05:30:00	0	0.0	
2012-01-12 06:00:00	0	0.0	
2012-01-12 06:30:00	0	0.0	
2012-01-12 07:00:00	0	0.0	
2012-01-12 07:30:00	52	350.0	
2012-01-12 08:00:00	333	460.0	
2012-01-12 08:30:00	939	1660.0	
2012-01-12 09:00:00	1126	1030.0	
2012-01-12 09:30:00	613	1460.0	
2012-01-12 10:00:00	1051	2900.0	
2012-01-12 10:30:00	2369	3390.0	
2012-01-12 11:00:00	2234	3660.0	
2012-01-12 11:30:00	2485	3690.0	
2012-01-12 12:00:00	2330	3420.0	
2012-01-12 12:30:00	1745	1660.0	
2012-01-12 13:00:00	1277	2290.0	
2012-01-12 13:30:00	1785	1780.0	
2012-01-12 14:00:00	1121	2450.0	
2012-01-12 14:30:00	1485	2060.0	
2012-01-12 15:00:00	1031	1260.0	
2012-01-12 15:30:00	399	740.0	
2012-01-12 16:00:00	90	410.0	
2012-01-12 16:30:00	5	10.0	
2012-01-12 17:00:00	0	0.0	
2012-01-12 17:30:00	0	0.0	
2012-01-12 18:00:00	0	0.0	
2012-01-12 18:30:00	0	0.0	
2012-01-12 19:00:00	0	0.0	
2012-01-12 19:30:00	0	0.0	
2012-01-12 20:00:00	0	0.0	
2012-01-12 20:30:00	0	0.0	
2012-01-12 21:00:00	0	0.0	
2012-01-12 21:30:00	0	0.0	
2012-01-12 22:00:00	0	0.0	
2012-01-12 22:30:00	0	0.0	
2012-01-12 23:00:00	0	0.0	
2012-01-12 23:30:00	0	0.0	
2012-01-13 00:00:00	0		
2012-01-13 00:30:00	0		
2012-01-13 01:00:00	0		
2012-01-13 01:30:00	0		
2012-01-13 02:00:00	0		
2012-01-13 02:30:00	0		
2012-01-13 03:00:00	0		
2012-01-13 03:30:00	0		
2012-01-13 04:00:00	0		
2012-01-13 04:30:00	0		
2012-01-13 05:00:00	0		
2012-01-13 05:30:00	0		
2012-01-13 06:00:00	0		
2012-01-13 06:30:00	0		
2012-01-13 07:00:00	2		
2012-01-13 07:30:00	83		
2012-01-13 08:00:00	405		
2012-01-13 08:30:00	1102		
2012-01-13 09:00:00	1433		
2012-01-13 09:30:00	1671		
2012-01-13 10:00:00	1902		
2012-01-13 10:30:00	2085		
2012-01-13 11:00:00	2225		
2012-01-13 11:30:00	2306		
2012-01-13 12:00:00	2294		
2012-01-13 12:30:00	2256		
2012-01-13 13:00:00	2142		
2012-01-13 13:30:00	1970		
2012-01-13 14:00:00	1735		
2012-01-13 14:30:00	1437		
2012-01-13 15:00:00	1078		
2012-01-13 15:30:00	455		
2012-01-13 16:00:00	65		
2012-01-13 16:30:00	0		
2012-01-13 17:00:00	0		
2012-01-13 17:30:00	0		
2012-01-13 18:00:00	0		
2012-01-13 18:30:00	0		
2012-01-13 19:00:00	0		
2012-01-13 19:30:00	0		
2012-01-13 20:00:00	0		
2012-01-13 20:30:00	0		
2012-01-13 21:00:00	0		
2012-01-13 21:30:00	0		
2012-01-13 22:00:00	0		
2012-01-13 22:30:00	0		
2012-01-13 23:00:00	0		
2012-01-13 23:30:00	0		
2012-01-14 00:00:00	0	0.0	
2012-01-14 00:30:00	0	0.0	
2012-01-14 01:00:00	0	0.0	
2012-01-14 01:30:00	0	0.0	
2012-01-14 02:00:00	0	0.0	
2012-01-14 02:30:00	0	0.0	
2012-01-14 03:00:00	0	0.0	
2012-01-14 03:30:00	0	0.0	
2012-01-14 04:00:00	0	0.0	
2012-01-14 04:30:00	0	0.0	
2012-01-14 05:00:00	0	0.0	
2012-01-14 05:30:00	0	0.0	
2012-01-14 06:00:00	0	0.0	
2012-01-14 06:30:00	0	0.0	
2012-01-14 07:00:00	0	0.0	
2012-01-14 07:30:00	51	50.0	
2012-01-14 08:00:00	206	250.0	
2012-01-14 08:30:00	423	570.0	
2012-01-14 09:00:00	1210	1320.0	
2012-01-14 09:30:00	980	690.0	
2012-01-14 10:00:00	349	580.0	
2012-01-14 10:30:00	577	650.0	
2012-01-14 11:00:00	625	980.0	
2012-01-14 11:30:00	954	1970.0	
2012-01-14 12:00:00	2151	3380.0	
2012-01-14 12:30:00	2140	2580.0	
2012-01-14 13:00:00	2080	3620.0	
2012-01-14 13:30:00	2070	3320.0	
2012-01-14 14:00:00	1797	2680.0	
2012-01-14 14:30:00	1349	1290.0	
2012-01-14 15:00:00	883	870.0	
2012-01-14 15:30:00	525	720.0	
2012-01-14 16:00:00	134	340.0	
2012-01-14 16:30:00	10	10.0	
2012-01-14 17:00:00	0	0.0	
2012-01-14 17:30:00	0	0.0	
2012-01-14 18:00:00	0	0.0	
2012-01-14 18:30:00	0	0.0	
2012-01-14 19:00:00	0	0.0	
2012-01-14 19:30:00	0	0.0	
2012-01-14 20:00:00	0	0.0	
2012-01-14 20:30:00	0	0.0	
2012-01-14 21:00:00	0	0.0	
2012-01-14 21:30:00	0	0.0	
2012-01-14 22:00:00	0	0.0	
2012-01-14 22:30:00	0	0.0	
2012-01-14 23:00:00	0	0.0	
2012-01-14 23:30:00	0	0.0	
2012-01-15 00:00:00	0		
2012-01-15 00:30:00	0		
2012-01-15 01:00:00	0		
2012-01-15 01:30:00	0		
2012-01-15 02:00:00	0		
2012-01-15 02:30:00	0		
2012-01-15 03:00:00	0		
2012-01-15 03:30:00	0		
2012-01-15 04:00:00	0		
2012-01-15 04:30:00	0		
2012-01-15 05:00:00	0		
2012-01-15 05:30:00	0		
2012-01-15 06:00:00	0		
2012-01-15 06:30:00	0		
2012-01-15 07:00:00	0		
2012-01-15 07:30:00	95		
2012-01-15 08:00:00	263		
2012-01-15 08:30:00	475		
2012-01-15 09:00:00	764		
2012-01-15 09:30:00	914		
2012-01-15 10:00:00	971		
2012-01-15 10:30:00	1221		
2012-01-15 11:00:00	1341		
2012-01-15 11:30:00	822		
2012-01-15 12:00:00	731		
2012-01-15 12:30:00	1251		
2012-01-15 13:00:00	1209		
2012-01-15 13:30:00	834		
2012-01-15 14:00:00	866		
2012-01-15 14:30:00	611		
2012-01-15 15:00:00	453		
2012-01-15 15:30:00	313		
2012-01-15 16:00:00	157		
2012-01-15 16:30:00	14		
2012-01-15 17:00:00	0		
2012-01-15 17:30:00	0		
2012-01-15 18:00:00	0		
