date	weather	weather_detail	wind	wave	pc_00-06	pc_06-12	pc_12-18	pc_18-24	we_00-03	we_03-06	we_06-09	we_09-12	we_12-15	we_15-18	we_18-21	we_21-24	wv_00-03	wv_03-06	wv_06-09	wv_09-12	wv_12-15	wv_15-18	wv_18-21	wv_21-24	wc_00-03	wc_03-06	wc_06-09	wc_09-12	wc_12-15	wc_15-18	wc_18-21	wc_21-24	min_tp	max_tp	tp_00-03	tp_03-06	tp_06-09	tp_09-12	tp_12-15	tp_15-18	tp_18-21	tp_21-24
2012-01-19	くもり時々晴れ	くもり　時々　晴れ	南の風		10	10	10	20	晴れ	くもり	くもり	くもり	晴れ	晴れ	くもり	くもり	南	北東	西	南	南	南	北	東	1	1	1	1	1	1	1	1	0	9	3	2	0	3	7	9	7	5
2012-01-20	雪か雨	雪か雨　夜　くもり	南の風		70	80	60	30	雪	雪	雪	雪	雪	雪	くもり	くもり	南	南	南	南	南	南	南	南	1	1	2	1	1	1	2	1	-1	4	3	1	0	2	3	3	3	3
2012-01-21	くもり後雪か雨	くもり　夜　雪か雨	北西の風　日中　南西の風		30	20	40	60	くもり	くもり	くもり	くもり	くもり	くもり	雪	雪	北西	北西	南西	南西	南西	南西	北西	北西	2	2	2	2	2	2	2	2	-1	5	2	1	0	1	3	5	4	4
2012-01-22	くもり時々雨か雪	くもり　昼過ぎ　まで　時々　雨か雪	南の風　後　北の風		50	50	50	20	雨	くもり	くもり	雨	雨	くもり	くもり	晴れ	北	南	南	南	西	北	北	北西	1	1	2	1	1	2	2	2	2	7	4	4	3	3	6	7	6	5
2012-01-23	くもり後雪	くもり　夕方　から　雪	西の風　後　北西の風		10	10	50	50	くもり	くもり	晴れ	晴れ	くもり	雪	雪	雪	西	西	西	西	北西	北西	北西	北西	2	1	1	1	2	2	3	2	0	8	3	2	1	4	7	6	4	3
2012-01-24	晴れ時々くもり	晴れ　時々　くもり	北西の風　日中　南の風		20	10	20	10	くもり	晴れ	晴れ	晴れ	晴れ	くもり	くもり	晴れ	北西	北西	北西	南	南	南	北西	北西	1	1	1	1	1	1	1	1	-4	4	1	-2	-3	0	3	2	1	1
2012-01-25	晴れ	晴れ　昼過ぎ　から　夕方　くもり	西の風　後　北西の風		10	0	10	10	晴れ	晴れ	晴れ	晴れ	くもり	くもり	晴れ	晴れ	西	西	西	西	西	北西	北西	北西	1	1	2	2	2	2	2	2	-6	6	-1	-2	-5	1	5	4	2	0
2012-01-26	晴れ	晴れ	北西の風		10	0	0	0	くもり	晴れ	晴れ	晴れ	晴れ	晴れ	晴れ	晴れ	北西	北西	北西	北西	北西	北	北西	南東	2	2	2	3	2	3	3	2	-6	5	-2	-3	-5	-1	4	5	2	-1
2012-01-27	晴れ後くもり	晴れ　昼過ぎ　から　くもり	北西の風		10	10	20	10	晴れ	晴れ	晴れ	晴れ	くもり	くもり	くもり	晴れ	北西	北西	北西	北西	北西	北西	北西	北西	2	2	2	2	2	3	2	2	-6	7	-3	-5	-6	-1	5	6	4	1
2012-01-28	晴れ後時々くもり	晴れ　昼前　から　時々　くもり	南西の風　後　北西の風		10	10	10	10	晴れ	晴れ	晴れ	くもり	晴れ	くもり	くもり	晴れ	南西	南西	南西	南西	北西	北西	北西	北西	2	2	2	2	2	2	2	2	-6	7	-1	-3	-5	-2	4	7	3	0
2012-01-29	晴れ	晴れ　明け方　まで　くもり	北西の風		10	10	0	0	くもり	くもり	晴れ	晴れ	晴れ	晴れ	晴れ	晴れ	北西	北西	北西	北西	北西	北	北西	北西	1	1	2	2	3	2	2	2	-6	7	-2	-3	-5	-2	4	6	2	-1
2012-01-30	晴れ後時々くもり	晴れ　昼過ぎ　から　時々　くもり	南西の風　後　北西の風		0	0	0	0	晴れ	晴れ	晴れ	晴れ	くもり	晴れ	くもり	晴れ	北	北	南西	南西	西	北西	北西	北西	1	1	1	2	1	2	2	2	-7	6	-3	-5	-6	-3	3	6	3	0
2012-01-31	晴れ	晴れ	南西の風　後　北西の風　やや強く		10	0	10	10	晴れ	晴れ	晴れ	晴れ	晴れ	晴れ	晴れ	くもり	南西	南西	南西	南西	北西	北西	北西	北西	2	2	2	2	4	4	2	2	-6	7	-2	-4	-6	-2	5	7	3	0
2012-02-01	晴れ一時雪	晴れ　時々　くもり　昼前　一時　雪	南の風　後　北西の風　やや強く		10	50	20	10	晴れ	晴れ	くもり	雪	くもり	晴れ	晴れ	晴れ	南	南	南	南	北西	北西	北西	北西	2	2	2	3	4	4	2	2	-6	7	-2	-3	-5	-1	3	7	4	0
2012-02-02	晴れ時々くもり	晴れ　朝晩　くもり	北西の風　後　やや強く		0	10	0	10	晴れ	晴れ	くもり	晴れ	晴れ	晴れ	くもり	くもり	北西	北西	北西	北西	北西	北西	北	北西	3	2	2	3	4	4	4	3	-6	6	-3	-5	-6	-3	3	5	1	-2
2012-02-03	晴れ	晴れ	北西の風		0	0	10	10	晴れ	晴れ	晴れ	晴れ	晴れ	晴れ	晴れ	晴れ	北西	北西	北西	北西	北西	北西	北西	北西	1	1	1	1	3	3	3	1	-8	6	-3	-5	-7	-3	3	5	2	0
2012-02-04	晴れ	晴れ	西の風　後　北西の風		0	0	0	0	晴れ	晴れ	晴れ	晴れ	晴れ	晴れ	晴れ	晴れ	西	西	西	南西	北西	北西	北西	北西	1	1	1	1	3	3	3	2	-6	9	-1	-2	-5	0	6	8	6	2
2012-02-05	晴れ	晴れ　朝　から　昼前　くもり	北西の風　日中　南西の風		0	10	0	0	晴れ	晴れ	くもり	くもり	晴れ	晴れ	晴れ	晴れ	北西	北西	北西	南西	南西	南西	北西	北西	2	2	2	3	2	2	1	2	-6	9	-1	-3	-5	-2	5	8	6	4
2012-02-06	晴れ後雨	晴れ　後　くもり　昼過ぎ　から　雨	西の風　後　南の風		0	20	70	80	晴れ	晴れ	晴れ	くもり	雨	雨	雨	雨	西	西	西	南	南	南	南	南	2	2	2	2	2	2	2	2	-2	9	1	-1	-1	4	8	7	7	7
2012-02-07	雨	雨　夜　くもり　峡南地域　では　朝　まで　雷を伴い　激しく　降る	南西の風　後　北西の風　やや強く		90	90	80	20	雨	雨	雨	雨	雨	雨	くもり	くもり	南西	南西	南西	南西	北西	北西	北西	北西	2	2	3	2	4	4	4	4	5	10	6	6	8	8	10	10	10	8
2012-02-08	晴れ	晴れ　夕方　から　夜のはじめ頃　くもり	北西の風　日中　やや強く		10	0	10	10	晴れ	晴れ	晴れ	晴れ	晴れ	くもり	くもり	晴れ	北西	北西	北西	北西	北西	北西	北西	北西	2	2	1	2	4	4	3	2	-2	10	4	1	-2	1	7	9	5	1
2012-02-09	晴れ後時々くもり	晴れ　昼過ぎ　から　時々　くもり	西の風　後　北西の風　やや強く		10	10	10	10	晴れ	晴れ	晴れ	晴れ	くもり	晴れ	晴れ	くもり	北	西	西	西	北西	北西	北西	北西	1	2	1	1	4	4	4	2	-6	8	-2	-4	-5	-2	4	7	4	1
2012-02-10	くもり後晴れ	くもり　昼前　から　晴れ	南西の風　後　北西の風　やや強く		10	10	0	0	くもり	くもり	くもり	晴れ	晴れ	晴れ	晴れ	晴れ	南西	南西	南西	南西	北西	北西	北西	北西	2	2	2	2	4	4	4	3	-2	9	1	-1	-2	0	4	9	6	2
2012-02-11	晴れ	晴れ　夕方　から　夜のはじめ頃　くもり	北西の風		0	0	0	10	晴れ	晴れ	晴れ	晴れ	晴れ	くもり	くもり	晴れ	北西	北西	北西	北西	北西	北西	北西	北西	2	2	2	2	3	2	2	2	-4	9	1	-1	-3	1	6	8	4	3
2012-02-12	晴れ	晴れ	北西の風　後　やや強く		0	0	0	10	晴れ	晴れ	晴れ	晴れ	晴れ	晴れ	晴れ	くもり	北西	北西	北西	北西	北西	北西	北西	北西	2	2	2	3	4	4	4	3	-3	11	2	-1	-3	2	8	10	6	4
2012-02-13	くもり後雪か雨	晴れ　後　くもり　夜　雪か雨	北の風　後　南の風		0	10	30	60	晴れ	晴れ	晴れ	くもり	くもり	くもり	雪	雪	北	北	北	南	南	南	南	南	2	2	2	2	2	2	2	2	0	9	3	2	1	3	7	8	6	4
2012-02-14	くもり後一時雨	くもり　昼過ぎ　から　夕方　雨	南の風　後　北西の風		20	10	50	30	くもり	くもり	くもり	くもり	雨	雨	くもり	晴れ	南西	南西	南	南	西	北西	北西	北西	1	1	1	2	1	1	2	2	3	11	6	5	4	6	8	11	9	8
2012-02-15	くもり時々晴れ	くもり　昼前　まで　時々　晴れ	西の風　後　北西の風		10	10	20	20	晴れ	くもり	くもり	晴れ	くもり	くもり	くもり	くもり	西	西	西	北西	北西	北西	北西	北西	2	2	2	2	3	3	3	2	2	11	6	4	3	4	9	11	9	7
2012-02-16	晴れ時々くもり	晴れ　時々　くもり	北西の風　日中　南の風		10	10	10	10	晴れ	くもり	くもり	晴れ	晴れ	くもり	晴れ	晴れ	北西	北西	北西	南	南	南	北西	北西	2	2	2	2	3	2	2	2	0	8	2	1	0	2	6	8	5	4
2012-02-17	くもり	くもり　朝　から　昼前　晴れ　所により　夕方　から　夜のはじめ頃　雪	北西の風　後　やや強く		20	10	30	30	くもり	くもり	晴れ	晴れ	くもり	くもり	くもり	くもり	北西	北西	北西	北西	北西	北西	北西	北西	1	2	1	2	4	4	4	4	-2	7	2	1	-1	2	7	7	3	1
2012-02-18	晴れ	晴れ　明け方　まで　くもり	北西の風　後　やや強く		20	10	0	10	くもり	くもり	晴れ	晴れ	晴れ	晴れ	晴れ	晴れ	北西	北西	北西	北西	北西	北西	北西	北西	2	2	1	2	3	4	4	2	-4	5	0	-2	-3	0	4	4	1	-1
2012-02-19	晴れ後時々くもり	晴れ　昼過ぎ　から　時々　くもり	北西の風　後　南西の風		10	0	10	10	晴れ	晴れ	晴れ	晴れ	くもり	晴れ	くもり	晴れ	北西	北西	西	西	南西	南西	西	西	2	2	1	2	1	2	1	1	-6	5	-2	-4	-5	1	3	5	2	1
2012-02-20	晴れ	晴れ	北西の風　後　南西の風		10	0	0	10	晴れ	晴れ	晴れ	晴れ	晴れ	晴れ	晴れ	晴れ	北西	北西	南西	南西	南西	南西	南西	南西	2	2	2	2	2	2	2	2	-6	8	-1	-3	-5	0	5	8	6	4
2012-02-21	晴れ後くもり	晴れ　夕方　から　くもり　所により　夜遅く　雨か雪	北西の風　日中　南西の風		0	0	10	30	晴れ	晴れ	晴れ	晴れ	晴れ	くもり	くもり	くもり	北西	北西	北西	南西	南西	南西	北西	北西	2	2	2	2	2	2	2	2	-2	12	2	0	-1	3	8	11	7	5
2012-02-22	晴れ時々くもり	晴れ　朝晩　くもり　所により　未明　雨か雪	南の風		30	10	0	10	くもり	くもり	晴れ	晴れ	晴れ	晴れ	くもり	くもり	北西	北西	南	南	南	南	南	南	2	2	2	3	2	3	2	2	0	10	3	2	0	3	7	10	7	5
2012-02-23	雨	雨　夜　晴れ	南の風　後　北西の風　やや強く		80	70	70	20	雨	雨	雨	雨	雨	雨	晴れ	晴れ	南	南	南	南	南	北西	北西	北西	1	1	2	2	1	4	4	4	3	12	4	4	4	5	8	11	10	9
2012-02-24	晴れ後くもり	晴れ　夕方　から　くもり	北西の風　やや強く　後　南の風		0	0	10	10	晴れ	晴れ	晴れ	晴れ	晴れ	くもり	くもり	くもり	北西	北西	西	西	北西	南	南	南東	4	4	1	2	2	3	2	1	2	14	6	4	2	4	9	14	9	7
2012-02-25	雨か雪後くもり	雨か雪　夕方　から　くもり	南西の風　後　北西の風　やや強く		70	80	50	10	くもり	雪	雨	雨	雨	くもり	晴れ	晴れ	南西	南西	南西	南西	南西	北西	北西	北西	2	2	2	2	2	4	4	4	4	12	7	6	5	5	8	11	11	8
2012-02-26	晴れ後くもり	晴れ　夕方　から　くもり	北西の風		10	0	20	30	晴れ	くもり	晴れ	晴れ	晴れ	くもり	くもり	くもり	北西	北西	北西	北西	北西	北西	北西	北西	2	2	1	1	1	2	3	3	0	11	6	3	1	4	9	10	4	3
2012-02-27	晴れ時々くもり	晴れ　時々　くもり	北西の風		10	0	10	20	くもり	晴れ	晴れ	晴れ	晴れ	くもり	くもり	晴れ	北西	北西	北西	北西	北西	北西	北西	北西	2	3	1	1	2	3	3	3	-2	10	2	0	-2	3	7	9	5	2
2012-02-28	晴れ後くもり	晴れ　夕方　から　くもり	北西の風　後　南の風		10	0	10	10	晴れ	晴れ	晴れ	晴れ	晴れ	くもり	くもり	くもり	北西	北西	北西	北西	南	南	南	北西	2	1	1	1	2	3	1	1	-3	8	1	-2	-3	1	6	8	6	4
2012-02-29	雪か雨後くもり	雪か雨　昼過ぎ　から　くもり	北の風		80	80	30	10	雪	雪	雪	雪	くもり	くもり	くもり	くもり	北	北西	南	南西	北西	北	北西	北	2	2	1	1	1	3	2	2	0	7	4	3	1	3	4	7	7	6
2012-03-01	晴れ時々くもり	晴れ　時々　くもり	北西の風　日中　南西の風		10	10	10	10	くもり	晴れ	晴れ	くもり	晴れ	晴れ	くもり	くもり	北西	北西	北西	南西	南西	南西	北西	北西	2	2	2	2	2	2	2	2	1	13	4	3	2	5	9	12	10	7
2012-03-02	くもり後雨	くもり　昼前　から　雨	南の風　後　北西の風		20	60	80	60	晴れ	くもり	くもり	雨	雨	雨	雨	雨	南	南	南	南	南	西	北西	北西	2	2	2	3	2	2	2	3	2	8	6	4	3	3	5	7	8	7
2012-03-03	晴れ時々くもり	晴れ　朝晩　くもり	北西の風		10	0	10	10	くもり	くもり	晴れ	晴れ	晴れ	晴れ	くもり	くもり	北西	北西	北西	北西	北西	北西	北西	北西	3	3	2	2	3	3	3	2	3	14	7	5	4	6	12	13	8	5
2012-03-04	くもり	くもり　昼前　から　昼過ぎ　晴れ	北西の風　後　南の風		10	10	10	20	くもり	くもり	くもり	晴れ	晴れ	くもり	くもり	くもり	北西	北西	北西	南	南	南	南	南	2	1	2	3	2	3	2	1	2	9	3	3	2	4	6	8	7	6
2012-03-05	雨	雨	南の風		90	90	90	70	雨	雨	雨	雨	雨	雨	雨	雨	西	南	南	南	南	北	北西	南	2	2	2	3	2	2	2	2	4	8	6	5	5	5	6	7	8	9
2012-03-06	くもり一時雨	くもり　後　晴れ　朝　一時　雨	北西の風		40	50	20	10	くもり	くもり	雨	くもり	くもり	晴れ	晴れ	晴れ	北西	北西	北西	北西	北西	北西	北西	北西	2	2	2	2	3	3	3	2	8	19	10	9	8	9	14	18	15	13
2012-03-07	晴れ時々くもり	晴れ　朝晩　くもり	北西の風　後　南西の風		10	0	0	10	くもり	くもり	晴れ	晴れ	晴れ	晴れ	くもり	くもり	北西	北西	北西	北西	北西	南西	南西	南西	2	2	2	2	2	2	2	2	7	17	10	8	7	8	13	16	11	8
2012-03-08	くもり時々晴れ	くもり　昼過ぎ　まで　時々　晴れ	南西の風		20	10	10	20	くもり	くもり	晴れ	くもり	晴れ	くもり	くもり	くもり	南西	南西	南西	南西	南西	南西	南西	南西	2	1	2	2	2	3	2	2	5	14	7	6	5	6	12	13	10	8
2012-03-09	くもり後雨か雪	くもり　昼前　から　雨か雪	南の風		20	50	80	70	くもり	くもり	くもり	雨	雨	雨	雨	雪	南	南	南	南	南	南	南	南	1	1	1	2	1	2	1	1	6	8	7	6	6	6	6	8	7	6
2012-03-10	雨時々止む	雨か雪　昼前　から　夕方　くもり	北の風　後　北西の風		80	50	30	50	雨	雪	雨	くもり	くもり	くもり	雨	雪	北	北	北	西	西	西	北西	北西	2	2	2	1	2	2	2	2	4	9	7	6	5	7	9	9	8	6
2012-03-11	くもり時々晴れ	くもり　時々　晴れ	北西の風　日中　南西の風		20	10	20	20	くもり	くもり	晴れ	晴れ	くもり	くもり	くもり	晴れ	北西	北西	南西	南西	南西	南西	北西	北西	1	1	2	2	1	2	2	3	1	11	5	3	2	5	9	10	8	6
2012-03-12	晴れ	晴れ　昼過ぎ　から　夕方　くもり	北西の風　後　やや強く		10	10	10	10	晴れ	晴れ	晴れ	晴れ	くもり	くもり	晴れ	晴れ	北西	北西	北西	北西	北西	北西	北西	北西	2	2	2	2	4	4	4	3	-1	11	3	0	0	5	10	11	7	4
2012-03-13	晴れ後時々くもり	晴れ　昼過ぎ　から　時々　くもり	北西の風		10	0	10	10	晴れ	晴れ	晴れ	晴れ	くもり	晴れ	くもり	晴れ	北西	北西	北西	北西	北西	北西	北西	北西	3	2	1	2	2	3	3	3	-3	11	2	0	-2	5	10	10	7	5
2012-03-14	晴れ	晴れ　昼過ぎ　から　夕方　くもり	北西の風　日中　南の風		0	0	20	10	晴れ	晴れ	晴れ	晴れ	くもり	くもり	晴れ	晴れ	北西	北西	南	南	南	北西	北西	北西	2	2	1	1	2	2	2	2	-1	11	3	1	0	4	8	10	9	6
2012-03-15	晴れ時々くもり	晴れ　昼前　まで　時々　くもり	北西の風　後　やや強く		10	20	10	10	晴れ	くもり	晴れ	くもり	晴れ	晴れ	晴れ	晴れ	北	北西	北西	北西	北西	北西	北西	北西	2	1	2	2	2	4	4	4	1	13	4	2	2	5	10	13	8	5
2012-03-16	晴れ後くもり	晴れ　夕方　から　くもり	北西の風　後　南西の風		0	0	10	20	晴れ	晴れ	晴れ	晴れ	晴れ	くもり	くもり	くもり	北西	北西	北西	南西	南西	南西	南西	南西	2	3	2	2	2	3	2	2	0	12	2	1	1	6	10	11	9	8
2012-03-17	雨	雨　夜　くもり	南西の風　後　北西の風		50	80	70	20	雨	雨	雨	雨	雨	雨	くもり	くもり	南西	南西	南西	南西	南西	南西	北西	北西	2	2	2	2	2	2	2	3	5	11	6	6	6	7	10	10	10	9
2012-03-18	くもり時々晴れ	くもり　時々　晴れ　所により　夕方　雨	北西の風　日中　南西の風		10	10	30	10	くもり	くもり	晴れ	晴れ	くもり	くもり	くもり	晴れ	北西	北西	南西	南西	南西	南西	北西	北西	3	3	2	2	2	2	3	3	7	18	11	10	8	10	15	18	14	11
2012-03-19	晴れ	晴れ　夜　くもり	北西の風　日中　南西の風		10	0	10	10	晴れ	晴れ	晴れ	晴れ	晴れ	晴れ	くもり	くもり	北西	北西	北西	南西	南西	南西	北西	北西	2	3	1	2	2	3	2	1	4	13	9	6	4	7	11	13	8	7
2012-03-20	晴れ後時々くもり	晴れ　昼前　から　時々　くもり	北西の風		0	0	10	10	晴れ	晴れ	晴れ	くもり	くもり	晴れ	くもり	晴れ	北	北西	西	南西	西	北西	北	北西	1	3	1	1	2	3	2	3	1	14	4	3	2	6	12	13	10	7
2012-03-21	晴れ	晴れ　明け方　まで　くもり	北西の風　日中　やや強く		10	10	0	0	くもり	くもり	晴れ	晴れ	晴れ	晴れ	晴れ	晴れ	北西	北西	北西	北西	北西	北西	北西	北西	2	2	2	4	4	3	2	2	1	12	5	3	2	6	10	11	8	5
2012-03-22	晴れ時々くもり	晴れ　時々　くもり	北西の風　日中　西の風		0	0	0	10	晴れ	晴れ	くもり	くもり	晴れ	晴れ	くもり	くもり	北西	北西	西	西	西	北西	北西	北西	2	3	2	2	2	3	2	2	2	18	4	3	2	7	14	17	13	10
2012-03-23	雨	雨　明け方　まで　くもり	南東の風		40	80	90	90	くもり	くもり	雨	雨	雨	雨	雨	雨	北西	南東	南東	南東	南東	南東	南	南	2	2	1	3	2	2	1	1	5	9	7	6	5	6	6	7	9	9
2012-03-24	晴れ一時雨	くもり　後　晴れ　未明　雨	北西の風　後　やや強く		70	10	10	10	雨	くもり	くもり	くもり	晴れ	晴れ	晴れ	晴れ	南西	北西	北西	北西	北西	北西	西	北西	1	2	2	4	4	4	2	2	9	16	12	13	11	11	15	15	11	7
2012-03-25	晴れ時々くもり	晴れ　時々　くもり	北西の風　日中　やや強く		20	20	20	20	くもり	晴れ	くもり	晴れ	くもり	晴れ	くもり	晴れ	北西	北西	北西	北西	北西	北西	北西	北西	2	2	2	4	4	4	3	2	1	11	5	4	2	6	10	10	7	5
2012-03-26	晴れ時々くもり	晴れ　時々　くもり	北西の風		10	10	10	0	くもり	晴れ	晴れ	晴れ	くもり	くもり	晴れ	晴れ	北西	北西	北西	北西	北西	北西	北西	北西	2	2	2	3	3	3	2	2	0	12	3	2	1	6	9	11	8	5
2012-03-27	晴れ	晴れ	北西の風　日中　南西の風		10	0	0	0	晴れ	晴れ	晴れ	晴れ	晴れ	晴れ	晴れ	晴れ	北西	北西	北西	南西	南西	南西	北西	北西	2	2	2	3	2	3	2	2	-2	15	2	0	-2	6	11	14	12	8
2012-03-28	晴れ後一時雨	晴れ　後　くもり　夕方　一時　雨　所により　昼過ぎ　から　夕方　雷　を伴う	西の風　後　北西の風　やや強く		0	10	50	20	晴れ	晴れ	晴れ	晴れ	くもり	雨	くもり	晴れ	北西	北西	西	西	西	北西	北西	北西	1	1	1	3	3	4	4	3	1	16	5	3	2	8	15	15	12	8
2012-03-29	晴れ	晴れ	北西の風　はじめ　やや強く		10	10	0	0	晴れ	晴れ	晴れ	晴れ	晴れ	晴れ	晴れ	くもり	北西	北西	北西	南西	南西	南西	北西	北西	3	4	1	3	2	2	1	1	1	17	5	3	2	8	13	16	13	10
2012-03-30	晴れ後くもり	晴れ　昼前　から　くもり	北西の風　後　南西の風　やや強く		0	10	10	10	晴れ	晴れ	晴れ	くもり	くもり	くもり	くもり	くもり	北西	北西	南西	南西	南西	南西	南西	南西	2	2	2	2	4	4	2	2	4	17	7	5	4	9	14	17	13	11
2012-03-31	くもり時々雨	くもり　朝　から　夕方　雨	南西の風　やや強く　後　北西の風　やや強く		30	70	80	30	くもり	くもり	雨	雨	雨	雨	くもり	くもり	南西	南西	南西	南西	北西	北西	北西	北西	4	4	4	4	4	4	4	4	7	11	10	8	8	9	11	11	11	8
2012-04-01	晴れ時々くもり	晴れ　昼過ぎ　まで　時々　くもり	北西の風　日中　やや強く		0	20	10	0	晴れ	晴れ	くもり	晴れ	くもり	晴れ	晴れ	晴れ	北西	北西	北西	北西	北西	北西	北西	北西	2	2	2	2	4	4	3	2	-1	15	4	1	0	6	11	14	9	6
